raw_data,GT Entity (low-level),Cat (normalized obs.),super category,super super cat,Final_cat
surgical chain suture,surgical chain suture,surgical chain suture,,,OTH
surgical chains,surgical chains,surgical chains,,,OTH
surgical clips,surgical clips,surgical clip,,,OTH
surgical clip,surgical clip,surgical clip,,,OTH
surgical consolidation,surgical consolidation,surgical consolidation,,,OTH
surgical hardware,surgical hardware,surgical hardware,,,OTH
surgical removal,surgical removal,surgical removal,,,OTH
surgical sutures,surgical sutures,surgical suture,,,OTH
sutures,sutures,suture,,,OTH
suture chain,suture chain,suture chain,,,OTH
suture chain material,suture chain material,suture chain material,,,OTH
suture chains,suture chains,suture chains,,,OTH
suture line,suture line,suture line,,,OTH
suture lines,suture lines,suture line,,,OTH
suture material,suture material,suture material,,,OTH
swan,swan,swan ganz catheter,,,OTH
swan catheter,swan catheter,swan catheter,,,OTH
swan ganz catheter,swan ganz catheter,swan ganz catheter,,,OTH
swan ganz line placement,swan ganz line,swan ganz line,,,OTH
swan position,swan,swan-ganz catheter,,,OTH
swan with sheath,swan with sheath,swan with sheath,,,OTH
swan-catheter,swan-catheter,swan-catheter,,,OTH
swan-ganz catheter,swan-ganz catheter,swan-ganz catheter,,,OTH
"swan-ganz catheter position, swan-ganz catheter positioning",swan-ganz catheter,swan-ganz catheter,,,OTH
swan-ganz catheter tip,swan-ganz catheter tip,swan-ganz catheter tip,,,OTH
swan-ganz line,swan-ganz line,swan-ganz line,,,OTH
swan-ganz placement,swan-ganz,swan-ganz,,,OTH
swan-ganz position,swan-ganz,swan-ganz catheter,,,OTH
tacro,tacro,tacrolimius,,,OTH
tandem heart transplant,tandem heart transplant,tandem heart transplant,,,OTH
temperature probe,temperature probe,temperature probe,,,OTH
temporal right pacemaker,temporal right pacemaker,temporal right pacemaker,,,OTH
temporary pacemaker,temporary pacemaker,temporary pacemaker,,,OTH
temporary pacemaker lead,temporary pacemaker lead,temporary pacemaker lead,,,OTH
temporary pacemaker leads,temporary pacemaker leads,temporary pacemaker lead,,,OTH
temporary pacemaker placement,temporary pacemaker placement,temporary pacemaker placement,,,OTH
temporary pacemaker wire,temporary pacemaker wire,temporary pacemaker wire,,,OTH
temporary ppm placement,temporary ppm placement,temporary ppm placement,,,OTH
thin wire electrode,thin wire electrode,thin wire electrode,,,OTH
thin-caliber tube,thin-caliber tube,thin-caliber tube,,,OTH
thin-wall line,thin-wall line,thin-wall line,,,OTH
thoracentesis,thoracentesis,thoracentesis,,,OTH
thoracic closure,thoracic closure,thoracic closure,,,OTH
thoracic spinal stabilization hardware,thoracic spinal stabilization hardware,thoracic spinal stabilization hardware,,,OTH
thoracocentesis,thoracocentesis,thoracocentesis,,,OTH
thoracolumbar fusion hardware,thoracolumbar fusion hardware,thoracolumbar fusion hardware,,,OTH
thoracoplasty,thoracoplasty,thoracoplasty,,,OTH
thoracostomy,thoracostomy,thoracostomy,,,OTH
thoracostomy tubes,thoracostomy tubes,thoracostomy tube,,,OTH
thoracotomy,thoracotomy,thoracotomy,,,OTH
thoracotomy decortication,thoracotomy decortication,thoracotomy decortication,,,OTH
thrombectomy,thrombectomy,thrombectomy,,,OTH
tip,tip,tip,,,OTH
tips,tips,tip,,,OTH
tip of hd catheter,tip of hd catheter,tip of hd catheter,,,OTH
tip of intraaortic balloon pump,tip of intraaortic balloon pump,tip of intraaortic balloon pump,,,OTH
tip of nasogastric tube,tip of nasogastric tube,tip of nasogastric tube,,,OTH
tip of peripherally inserted central catheter line,tip of peripherally inserted central catheter line,tip of peripherally insert central catheter line,,,OTH
tip of swan-ganz catheter,tip of swan-ganz catheter,tip of swan-ganz catheter,,,OTH
tip of the catheter,tip of the catheter,tip of the catheter,,,OTH
tip of the chest port,tip of the chest port,tip of the chest port,,,OTH
tip of the dobhoff tube,tip of the dobhoff tube,tip of the dobhoff tube,,,OTH
tip of the line,tip of the line,tip of the line,,,OTH
tip of the nasogastric tube,tip of the nasogastric tube,tip of the nasogastric tube,,,OTH
tip of the pacemaker,tip of the pacemaker,tip of the pacemaker,,,OTH
tip of the peripherally inserted central catheter line,tip of the peripherally inserted central catheter line,tip of the peripherally insert central catheter line,,,OTH
tip of the tube,tip of the tube,tip of the tube,,,OTH
toe amp,toe amp,toe amputation,,,OTH
total colectomy,total colectomy,total colectomy,,,OTH
total hip replacement,total hip replacement,total hip replacement,,,OTH
tpa,tpa,Tissue plasminogen activator,,,OTH
tpa administration,tPA administration,tPA administration,,,OTH
trach,trach,tracheostomy,,,OTH
tracheal reconstruction,tracheal reconstruction,tracheal reconstruction,,,OTH
tracheal stent,tracheal stent,tracheal stent,,,OTH
tracheal stent removal,tracheal stent removal,tracheal stent removal,,,OTH
tracheobronchial stent placement,tracheobronchial stent placement,tracheobronchial stent placement,,,OTH
tracheobronchoplasty,tracheobronchoplasty,tracheobronchoplasty,,,OTH
tracheoplasty,tracheoplasty,tracheoplasty,,,OTH
tracheostomy,tracheostomy,tracheostomy,,,OTH
tracheostomy tip,tracheostomy tip,tracheostomy tip,,,OTH
tracheostomy tube,tracheostomy tube,tracheostomy tube,,,OTH
transbronchial biopsy,transbronchial biopsy,transbronchial biopsy,,,OTH
transbronchial fiducial placement,transbronchial fiducial placement,transbronchial fiducial placement,,,OTH
transesophageal drainage tube,transesophageal drainage tube,transesophageal drainage tube,,,OTH
transfusion of blood products,transfusion of blood products,transfusion of blood product,,,OTH
transpedicle screws,transpedicle screws,transpedicle screw,,,OTH
transplant,transplant,transplant,,,OTH
transsubclavian right atrial and ventricular pacer defibrillator leads,transsubclavian right atrial and ventricular pacer defibrillator leads,transsubclavian right atrial and ventricular pacer defibrillator lead,,,OTH
transvenous atrial biventricular pacer defibrillator leads,transvenous atrial biventricular pacer defibrillator leads,transvenous atrial biventricular pacer defibrillator lead,,,OTH
transvenous pacemaker,transvenous pacemaker,transvenous pacemaker,,,OTH
transvenous pacemaker leads,transvenous pacemaker leads,transvenous pacemaker lead,,,OTH
transvenous pacemaker lead,transvenous pacemaker lead,transvenous pacemaker lead,,,OTH
transvenous pacemaker/aicd,transvenous pacemaker/aicd,transvenous pacemaker/aicd,,,OTH
transvenous pacer lead,transvenous pacer lead,transvenous pacer lead,,,OTH
transvenous pacer leads,transvenous pacer leads,transvenous pacer lead,,,OTH
transvenous pacer placement,transvenous pacer,transvenous pacer,,,OTH
transvenous right atrial and left ventricular pacer leads,transvenous right atrial and left ventricular pacer leads,transvenous right atrial and left ventricular pacer lead,,,OTH
transvenous right atrial and right ventricular pacer leads,transvenous right atrial and right ventricular pacer leads,transvenous right atrial and right ventricular pacer lead,,,OTH
transvenous right atrial biventricular pacer leads,transvenous right atrial biventricular pacer leads,transvenous right atrial biventricular pacer lead,,,OTH
transvenous right atrial pacer,transvenous right atrial pacer,transvenous right atrial pacer,,,OTH
transvenous right atrial right ventricular pacer leads,transvenous right atrial right ventricular pacer leads,transvenous right atrial right ventricular pacer lead,,,OTH
transvenous right atrioventricular pacer leads,transvenous right atrioventricular pacer leads,transvenous right atrioventricular pacer lead,,,OTH
transvenous right ventricular pacer defibrillator,transvenous right ventricular pacer defibrillator,transvenous right ventricular pacer defibrillator,,,OTH
transvenous right ventricular pacer defibrillator lead,transvenous right ventricular pacer defibrillator lead,transvenous right ventricular pacer defibrillator lead,,,OTH
transvenous right ventricular pacer lead,transvenous right ventricular pacer lead,transvenous right ventricular pacer lead,,,OTH
trauma board,trauma board,trauma board,,,OTH
trauma line,trauma line,trauma line,,,OTH
tricuspid annuloplasty,tricuspid annuloplasty,tricuspid annuloplasty,,,OTH
tricuspid valve annuloplasty,tricuspid valve annuloplasty,tricuspid valve annuloplasty,,,OTH
tricuspid valve repair,tricuspid valve repair,tricuspid valve repair,,,OTH
tricuspid valve replacement,tricuspid valve replacement,tricuspid valve replacement,,,OTH
tricuspid valve surgery,tricuspid valve surgery,tricuspid valve surgery,,,OTH
tricuspid valvular surgery,tricuspid valvular surgery,tricuspid valvular surgery,,,OTH
tricuspid valvuloplasty,tricuspid valvuloplasty,tricuspid valvuloplasty,,,OTH
triple lead pacing device,triple lead pacing device,triple lead pace device,,,OTH
tube,tube,tube,,,OTH
tubes,tubes,tube,,,OTH
tubing,tubing,tube,,,OTH
tubes and lines,tubes and lines,tube and line,,,OTH
tube and lines,tube and lines,tube and line,,,OTH
tube course,tube course,tube course,,,OTH
"tube placement, tube placements",tube,tube,,,OTH
tube position,tube,tube,,,OTH
tube removal,tube,tube,,,OTH
tubes/lines,tubes/lines,tubes/lines,,,OTH
tunneled dialysis catheter,tunneled dialysis catheter,tunnel dialysis catheter,,,OTH
tunnel dialysis catheter,tunnel dialysis catheter,tunnel dialysis catheter,,,OTH
tunnel dialysis catheter placement,tunnel dialysis catheter placement,tunnel dialysis catheter placement,,,OTH
tunneled dual lumen catheter,tunneled dual lumen catheter,tunnel dual lumen catheter,,,OTH
tunneled hemodialysis catheter,tunneled hemodialysis catheter,tunnel hemodialysis catheter,,,OTH
tunneled line,tunneled line,tunnel line,,,OTH
upper abdominal clips,upper abdominal clip,upper abdominal clip,,,OTH
upper enteric drainage tube,upper enteric drainage tube,upper enteric drainage tube,,,OTH
upper enteric tube,upper enteric tube,upper enteric tube,,,OTH
upper lobectomy,upper lobectomy,upper lobectomy,,,OTH
vagal nerve stimulator,vagal nerve stimulator,vagal nerve stimulator,,,OTH
valve hardware,valve hardware,valve hardware,,,OTH
valve prosthesis,valve prosthesis,valve prosthesis,,,OTH
valve prostheses,valve prostheses,valve prosthesis,,,OTH
valve replacement,valve replacement,valve replacement,,,OTH
valve replacements,valve replacements,valve replacement,,,OTH
valvular prostheses,valvular prostheses,valvular prosthesis,,,OTH
valvular repair,valvular repair,valvular repair,,,OTH
valvular replacement,valvular replacement,valvular replacement,,,OTH
valvular replacements,valvular replacements,valvular replacement,,,OTH
vascular catheter,vascular catheter,vascular catheter,,,OTH
vascular clips,vascular clips,vascular clip,,,OTH
vascular coronary stent,vascular coronary stent,vascular coronary stent,,,OTH
vascular markers,vascular markers,vascular marker,,,OTH
vascular stent,vascular stent,vascular stent,,,OTH
vascular stents,vascular stents,vascular stent,,,OTH
vascular stenting,vascular stenting,vascular stenting,,,OTH
vats,vats,vats,,,OTH
vats decortication,vats decortication,vats decortication,,,OTH
vats procedure,vats procedure,vats procedure,,,OTH
vats washout,vats washout,vats washout,,,OTH
venous catheter,venous catheter,venous catheter,,,OTH
venous introduction sheath,venous introduction sheath,venous introduction sheath,,,OTH
venous pacer lead,venous pacer lead,venous pacer lead,,,OTH
venous sheath catheter,venous sheath catheter,venous sheath catheter,,,OTH
ventral hernia repair,ventral hernia repair,ventral hernia repair,,,OTH
ventriculoperitoneal shunt,ventriculoperitoneal shunt,ventriculoperitoneal shunt,,,OTH
vertebral fixation device,vertebral fixation device,vertebral fixation device,,,OTH
vertebroplasties,vertebroplasties,vertebroplasty,,,OTH
vertebroplasty,vertebroplasty,vertebroplasty,,,OTH
vertebroplasty procedures,vertebroplasty procedures,vertebroplasty procedure,,,OTH
vertical line,vertical line,vertical line,,,OTH
volume load,volume load,volume load,,,OTH
warfarin,warfarin,warfarin,,,OTH
wedge resection,wedge resection,wedge resection,,,OTH
wires,wires,wire,,,OTH
wire,wire,wire,,,OTH
wire placement,wire placement,wire placement,,,OTH
wound ulcer debridement,wound ulcer debridement,wound ulcer debridement,,,OTH
wrist washout,wrist washout,wrist washout,,,OTH
